Dimension,Function,Algorithm_A,Algorithm_B,Score_A,Score_B,Score_Sum
10,8,S_LSHADE_DP,NL-SHADE-RSP-MID,569.0,331.0,900.0
10,8,S_LSHADE_DP,Co-PPSO,863.0,37.0,900.0
10,8,S_LSHADE_DP,NLSOMACLP,612.0,288.0,900.0
10,8,NL-SHADE-RSP-MID,Co-PPSO,855.0,45.0,900.0
10,8,NL-SHADE-RSP-MID,NLSOMACLP,497.0,403.0,900.0
10,8,Co-PPSO,NLSOMACLP,48.0,852.0,900.0
10,9,PDABC,ABC,900.0,0.0,900.0
10,9,PDABC,ZOCMAES,900.0,0.0,900.0
10,9,PDABC,EA4eigN100_10,900.0,0.0,900.0
10,9,PDABC,NL-SHADE-LBC,900.0,0.0,900.0
10,9,PDABC,S_LSHADE_DP,900.0,0.0,900.0
10,9,PDABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,9,PDABC,Co-PPSO,900.0,0.0,900.0
10,9,PDABC,NLSOMACLP,900.0,0.0,900.0
10,9,ABC,ZOCMAES,720.0,180.0,900.0
10,9,ABC,EA4eigN100_10,720.0,180.0,900.0
10,9,ABC,NL-SHADE-LBC,720.0,180.0,900.0
10,9,ABC,S_LSHADE_DP,600.0,300.0,900.0
10,9,ABC,NL-SHADE-RSP-MID,720.0,180.0,900.0
10,9,ABC,Co-PPSO,720.0,180.0,900.0
10,9,ABC,NLSOMACLP,720.0,180.0,900.0
10,9,ZOCMAES,EA4eigN100_10,0.0,900.0,900.0
10,9,ZOCMAES,NL-SHADE-LBC,540.0,360.0,900.0
10,9,ZOCMAES,S_LSHADE_DP,750.0,150.0,900.0
10,9,ZOCMAES,NL-SHADE-RSP-MID,540.0,360.0,900.0
10,9,ZOCMAES,Co-PPSO,900.0,0.0,900.0
10,9,ZOCMAES,NLSOMACLP,720.0,180.0,900.0
10,9,EA4eigN100_10,NL-SHADE-LBC,900.0,0.0,900.0
10,9,EA4eigN100_10,S_LSHADE_DP,750.0,150.0,900.0
10,9,EA4eigN100_10,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,9,EA4eigN100_10,Co-PPSO,900.0,0.0,900.0
10,9,EA4eigN100_10,NLSOMACLP,900.0,0.0,900.0
10,9,NL-SHADE-LBC,S_LSHADE_DP,750.0,150.0,900.0
10,9,NL-SHADE-LBC,NL-SHADE-RSP-MID,450.0,450.0,900.0
10,9,NL-SHADE-LBC,Co-PPSO,900.0,0.0,900.0
10,9,NL-SHADE-LBC,NLSOMACLP,900.0,0.0,900.0
10,9,S_LSHADE_DP,NL-SHADE-RSP-MID,150.0,750.0,900.0
10,9,S_LSHADE_DP,Co-PPSO,900.0,0.0,900.0
10,9,S_LSHADE_DP,NLSOMACLP,150.0,750.0,900.0
10,9,NL-SHADE-RSP-MID,Co-PPSO,900.0,0.0,900.0
10,9,NL-SHADE-RSP-MID,NLSOMACLP,900.0,0.0,900.0
10,9,Co-PPSO,NLSOMACLP,0.0,900.0,900.0
10,10,PDABC,ABC,336.5,563.5,900.0
10,10,PDABC,ZOCMAES,900.0,0.0,900.0
10,10,PDABC,EA4eigN100_10,900.0,0.0,900.0
10,10,PDABC,NL-SHADE-LBC,900.0,0.0,900.0
10,10,PDABC,S_LSHADE_DP,900.0,0.0,900.0
10,10,PDABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,10,PDABC,Co-PPSO,900.0,0.0,900.0
10,10,PDABC,NLSOMACLP,900.0,0.0,900.0
10,10,ABC,ZOCMAES,900.0,0.0,900.0
10,10,ABC,EA4eigN100_10,900.0,0.0,900.0
10,10,ABC,NL-SHADE-LBC,900.0,0.0,900.0
10,10,ABC,S_LSHADE_DP,900.0,0.0,900.0
10,10,ABC,NL-SHADE-RSP-MID,900.0,0.0,900.0
10,10,ABC,Co-PPSO,900.0,0.0,900.0
10,10,ABC,NLSOMACLP,900.0,0.0,900.0
10,10,ZOCMAES,EA4eigN100_10,0.0,900.0,900.0
10,10,ZOCMAES,NL-SHADE-LBC,0.0,900.0,900.0
10,10,ZOCMAES,S_LSHADE_DP,0.0,900.0,900.0
10,10,ZOCMAES,NL-SHADE-RSP-MID,1.0,899.0,900.0
10,10,ZOCMAES,Co-PPSO,64.0,836.0,900.0
10,10,ZOCMAES,NLSOMACLP,0.0,900.0,900.0
10,10,EA4eigN100_10,NL-SHADE-LBC,312.0,588.0,900.0
10,10,EA4eigN100_10,S_LSHADE_DP,0.0,900.0,900.0
10,10,EA4eigN100_10,NL-SHADE-RSP-MID,30.0,870.0,900.0
10,10,EA4eigN100_10,Co-PPSO,877.0,23.0,900.0
10,10,EA4eigN100_10,NLSOMACLP,0.0,900.0,900.0
10,10,NL-SHADE-LBC,S_LSHADE_DP,0.0,900.0,900.0
